PartOfBody,Subtype,Texture,Pattern,Color
UPPER,T_SHIRT,COTTON,STRIPES,BLUE
UPPER,JACKET,LEATHER,NONE,BLACK
UPPER,LONG_SLEEVE,WOOL,PLAID,GREY
UPPER,BUTTON_UP,COTTON,FLORAL,WHITE
LOWER,SHORTS,COTTON,STRIPES,GREEN
LOWER,SKIRT,VELVET,FLORAL,RED
UPPER,T_SHIRT,COTTON,LOGO,WHITE
UPPER,DRESS,VELVET,ANIMAL_PRINT,BLACK
UPPER,CROPPED,COTTON,SWIRLS,PURPLE
LOWER,PANTS,WOOL,PLAID,RED
LOWER,SHORTS,COTTON,STRIPES,BLUE
OTHER,BAG,WOOL,FLORAL,MULTICOLORED
FEET,BOOTS,LEATHER,NONE,BROWN
FEET,SNEAKERS,COTTON,NONE,WHITE
FEET,SLIPPERS,WOOL,NONE,GREY
FEET,HEELS,LEATHER,NONE,BLACK
OTHER,HAT,COTTON,NONE,YELLOW
OTHER,GLASSES,FUR,NONE,BLACK
UPPER,LONG_SLEEVE,COTTON,NONE,WHITE
LOWER,PANTS,DENIM,NONE,BLUE
UPPER,JACKET,WOOL,PLAID,RED
UPPER,T_SHIRT,COTTON,LOGO,WHITE
FEET,SNEAKERS,LEATHER,NONE,BLACK
FEET,BOOTS,LEATHER,NONE,BLACK
UPPER,DRESS,WOOL,FLORAL,RED
LOWER,PANTS,VELVET,PLAID,GREEN
OTHER,HAT,WOOL,NONE,BLUE
UPPER,BUTTON_UP,COTTON,STRIPES,WHITE
FEET,LOAFERS,LEATHER,NONE,BROWN
FEET,HEELS,LEATHER,NONE,PINK
UPPER,CROPPED,COTTON,ANIMAL_PRINT,YELLOW
LOWER,OVERALLS,DENIM,NONE,BLUE
OTHER,BAG,LEATHER,NONE,BLACK
FEET,SNEAKERS,COTTON,NONE,RED
LOWER,SKIRT,LACE,FLORAL,PURPLE
UPPER,LONG_SLEEVE,COTTON,LOGO,GREY
UPPER,JACKET,WOOL,NONE,BROWN
LOWER,SHORTS,DENIM,NONE,BLACK
UPPER,DRESS,LACE,FLORAL,WHITE
UPPER,CROPPED,COTTON,LOGO,GREEN
FEET,FLATS,LEATHER,NONE,BLUE
LOWER,SKIRT,WOOL,PLAID,RED
OTHER,HAT,FUR,NONE,BROWN
LOWER,PANTS,COTTON,STRIPES,GREY
UPPER,T_SHIRT,WOOL,NONE,BLACK
UPPER,JACKET,VELVET,PLAID,PINK
FEET,HEELS,LEATHER,NONE,RED
FEET,LOAFERS,LEATHER,NONE,BLACK
OTHER,BAG,WOOL,NONE,GREY
FEET,FLATS,COTTON,NONE,WHITE
UPPER,LONG_SLEEVE,COTTON,FLORAL,PINK
LOWER,PANTS,VELVET,NONE,PURPLE
UPPER,BUTTON_UP,COTTON,STRIPES,YELLOW
LOWER,OVERALLS,DENIM,NONE,GREEN
FEET,SNEAKERS,LEATHER,NONE,BLUE
UPPER,DRESS,LACE,NONE,WHITE
OTHER,BAG,LEATHER,NONE,BROWN
LOWER,SKIRT,VELVET,LOGO,GREY
UPPER,T_SHIRT,COTTON,LOGO,BLACK
UPPER,CROPPED,VELVET,SWIRLS,RED
LOWER,PANTS,WOOL,NONE,GREEN
UPPER,LONG_SLEEVE,COTTON,ANIMAL_PRINT,PINK
OTHER,HAT,LEATHER,NONE,BROWN
UPPER,T_SHIRT,LEATHER,NONE,BLACK
LOWER,PANTS,LEATHER,NONE,BLACK
FEET,BOOTS,LEATHER,NONE,BLACK
UPPER,JACKET,LEATHER,NONE,BLACK
LOWER,SKIRT,LEATHER,NONE,BLACK
FEET,LOAFERS,LEATHER,NONE,BLACK
LOWER,SHORTS,LEATHER,NONE,BLACK
FEET,HEELS,LEATHER,NONE,BLACK
LOWER,JEANS,DENIM,NONE,BLACK
FEET,SNEAKERS,LEATHER,NONE,BLACK
OTHER,BAG,LEATHER,NONE,BLACK
UPPER,SWEATER,LEATHER,NONE,BLACK
FEET,FLATS,LEATHER,NONE,BLACK
OTHER,HAT,LEATHER,NONE,BLACK
LOWER,JOGGERS,LEATHER,NONE,BLACK
FEET,SLIPPERS,LEATHER,NONE,BLACK
UPPER,T_SHIRT,LEATHER,NONE,WHITE
LOWER,PANTS,LEATHER,NONE,WHITE
FEET,BOOTS,LEATHER,NONE,WHITE
UPPER,JACKET,LEATHER,NONE,WHITE
LOWER,SKIRT,LEATHER,NONE,WHITE
FEET,LOAFERS,LEATHER,NONE,WHITE
LOWER,SHORTS,LEATHER,NONE,WHITE
FEET,HEELS,LEATHER,NONE,WHITE
LOWER,JEANS,DENIM,NONE,WHITE
FEET,SNEAKERS,LEATHER,NONE,WHITE
LOWER,SKIRT,SILK,ANIMAL_PRINT,GOLD
